artist_name,artist_id,album_id,album_release_date,album_release_year,duration_ms,danceability
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,263200,0.505
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,283386,0.503
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,275400,0.441
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,265066,0.452
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,245240,0.52
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,300733,0.47
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,276200,0.502
The National,2cCUtGK9sDU2EoElnk0GNB,4OI9hKTm1QMRQunqHCfSSL,2013-05-20,2013,253454,0.488
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,279760,0.304
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,205213,0.55
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,174173,0.745
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,276640,0.419
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,259093,0.527
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,275933,0.402
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,203733,0.648
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,333786,0.583
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,258933,0.554
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,340186,0.49
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,252200,0.464
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,258519,0.397
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,254040,0.526
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,265560,0.374
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,160533,0.545
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,219386,0.534
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,233160,0.294
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,178013,0.546
The National,2cCUtGK9sDU2EoElnk0GNB,0ZHwBlV4OAweXWwbUemkmT,2010-11-22,2010,326733,0.405
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,279760,0.304
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,205213,0.55
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,174173,0.745
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,276640,0.419
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,259093,0.527
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,275933,0.402
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,203733,0.648
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,333786,0.583
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,258933,0.554
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,340186,0.49
The National,2cCUtGK9sDU2EoElnk0GNB,4vBvnlmaiyoEf04hLe5SLo,2010-05-10,2010,252200,0.464
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,205040,0.325
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,210960,0.539
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,198133,0.505
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,179333,0.553
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,219466,0.534
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,248266,0.575
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,212533,0.55
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,196400,0.655
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,198933,0.576
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,204240,0.353
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,243200,0.557
The National,2cCUtGK9sDU2EoElnk0GNB,3Td1c2eAXaFzU4F8QCbFbp,2007-05-21,2007,269200,0.575
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,224773,0.622
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,239120,0.659
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,175026,0.428
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,203160,0.499
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,238573,0.563
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,201533,0.46
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,205253,0.655
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,180653,0.473
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,195320,0.604
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,217026,0.342
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,296786,0.538
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,267586,0.529
The National,2cCUtGK9sDU2EoElnk0GNB,3Dyqes0WX7jN0kSVwoOhKs,2005-04-11,2005,240493,0.416
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,378840,0.424
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,202626,0.629
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,224213,0.479
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,277106,0.403
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,225720,0.312
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,228160,0.542
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,199786,0.33
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,141480,0.703
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,212840,0.653
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,122573,0.666
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,223893,0.602
The National,2cCUtGK9sDU2EoElnk0GNB,1ajnGNtwwT0jwpOhDWHZzt,2003-09-02,2003,262786,0.609
